"Localitate","Judet","Agentie","KM"
"Rascolesti","Mehedinti","Drobeta-Turnu Severin",""
"Recea","Mehedinti","Drobeta-Turnu Severin","40"
"Rocsoreni","Mehedinti","Drobeta-Turnu Severin","41"
"Rogova","Mehedinti","Drobeta-Turnu Severin","25"
"Rosia","Mehedinti","Drobeta-Turnu Severin",""
"Rosiori","Mehedinti","Drobeta-Turnu Severin","50"
"Rudina","Mehedinti","Drobeta-Turnu Severin","39"
"Runcusoru","Mehedinti","Drobeta-Turnu Severin","43"
"Ruptura","Mehedinti","Drobeta-Turnu Severin","38"
"Salatruc","Mehedinti","Drobeta-Turnu Severin","42"
"Salcia","Mehedinti","Drobeta-Turnu Severin","37"
"Sardanesti","Mehedinti","Drobeta-Turnu Severin","42"
"Satu Mare","Mehedinti","Drobeta-Turnu Severin","59"
"Satu Nou","Mehedinti","Drobeta-Turnu Severin","51"
"Scapau","Mehedinti","Drobeta-Turnu Severin","29"
"Schela Cladovei","Mehedinti","Drobeta-Turnu Severin",""
"Schinteiesti","Mehedinti","Drobeta-Turnu Severin",""
"Schitu Topolnitei","Mehedinti","Drobeta-Turnu Severin",""
"Scorila","Mehedinti","Drobeta-Turnu Severin","57"
"Selistea","Mehedinti","Drobeta-Turnu Severin","56"
"Selisteni","Mehedinti","Drobeta-Turnu Severin",""
"Selistiuta","Mehedinti","Drobeta-Turnu Severin","46"
"Severinesti","Mehedinti","Drobeta-Turnu Severin","30"
"Sfodea","Mehedinti","Drobeta-Turnu Severin","37"
"Simian","Mehedinti","Drobeta-Turnu Severin",""
"Sipotu (Ponoarele)","Mehedinti","Drobeta-Turnu Severin","39"
"Sipotu (Poroina Mare)","Mehedinti","Drobeta-Turnu Severin",""
"Siroca","Mehedinti","Drobeta-Turnu Severin","32"
"Sisesti","Mehedinti","Drobeta-Turnu Severin","28"
"Slasoma","Mehedinti","Drobeta-Turnu Severin","40"
"Slatinicu Mare","Mehedinti","Drobeta-Turnu Severin","54"
"Slatinicu Mic","Mehedinti","Drobeta-Turnu Severin","53"
"Smadovita","Mehedinti","Drobeta-Turnu Severin","60"
"Sovarna","Mehedinti","Drobeta-Turnu Severin","36"
"Sperlesti","Mehedinti","Drobeta-Turnu Severin","49"
"Stancesti","Mehedinti","Drobeta-Turnu Severin","58"
"Stanesti","Mehedinti","Drobeta-Turnu Severin","35"
"Stangaceaua","Mehedinti","Drobeta-Turnu Severin","60"
"Stejaru","Mehedinti","Drobeta-Turnu Severin","41"
"Stignita","Mehedinti","Drobeta-Turnu Severin","32"
"Stircovita","Mehedinti","Drobeta-Turnu Severin","48"
"Strehaia","Mehedinti","Drobeta-Turnu Severin","48"
"Stroesti","Mehedinti","Drobeta-Turnu Severin","28"
"Studina","Mehedinti","Drobeta-Turnu Severin","33"
"Suharu","Mehedinti","Drobeta-Turnu Severin","28"
"Susita (Breznita-Ocol)","Mehedinti","Drobeta-Turnu Severin",""
"susita (Grozesti)","Mehedinti","Drobeta-Turnu Severin","65"
"Svinita","Mehedinti","Orsova","48"
"Talapanu","Mehedinti","Drobeta-Turnu Severin","59"
"Tamna","Mehedinti","Drobeta-Turnu Severin","36"
"Tantaru","Mehedinti","Drobeta-Turnu Severin","56"
"Tarsa","Mehedinti","Drobeta-Turnu Severin","60"
"Tiganasi","Mehedinti","Drobeta-Turnu Severin","44"
"Tismana","Mehedinti","Drobeta-Turnu Severin","22"
"Titerlesti","Mehedinti","Drobeta-Turnu Severin","68"
"Titirigi","Mehedinti","Drobeta-Turnu Severin","45"
"Traian","Mehedinti","Drobeta-Turnu Severin","32"
"Turtaba","Mehedinti","Drobeta-Turnu Severin","55"
"Valea Anilor","Mehedinti","Drobeta-Turnu Severin","36"
"Valea Buna","Mehedinti","Drobeta-Turnu Severin","54"
"Valea Copcii","Mehedinti","Drobeta-Turnu Severin",""
"Valea Cosustei","Mehedinti","Drobeta-Turnu Severin","30"
"Valea Izvorului","Mehedinti","Drobeta-Turnu Severin",""
"Valea Marcului","Mehedinti","Drobeta-Turnu Severin","46"
"Valea Petrii","Mehedinti","Drobeta-Turnu Severin","37"
"Valea Teiului","Mehedinti","Drobeta-Turnu Severin","59"
"Valea Ursului (Ponoarele)","Mehedinti","Drobeta-Turnu Severin","59"
"Valea Ursului (Tamna)","Mehedinti","Drobeta-Turnu Severin","37"
"Vanatori","Mehedinti","Drobeta-Turnu Severin","53"
"Vanju Mare","Mehedinti","Drobeta-Turnu Severin","33"
"Vanjulet","Mehedinti","Drobeta-Turnu Severin","28"
"Varodia","Mehedinti","Drobeta-Turnu Severin","37"
"Viasu","Mehedinti","Drobeta-Turnu Severin","41"
"Vidimiresti","Mehedinti","Drobeta-Turnu Severin","39"
"Visina","Mehedinti","Drobeta-Turnu Severin","43"
"Vladaia","Mehedinti","Drobeta-Turnu Severin","49"
"Vladasesti","Mehedinti","Drobeta-Turnu Severin","54"
"Vladica","Mehedinti","Drobeta-Turnu Severin","36"
"Voloiac","Mehedinti","Drobeta-Turnu Severin","43"
"Voloicel","Mehedinti","Drobeta-Turnu Severin","40"
"Vrancea","Mehedinti","Drobeta-Turnu Severin","30"
"Vrata","Mehedinti","Drobeta-Turnu Severin","51"
"Zegaia","Mehedinti","Drobeta-Turnu Severin",""
"Zegujani","Mehedinti","Drobeta-Turnu Severin","27"
"Abud","Mures","Sovata","20"
"Abus","Mures","Tarnaveni",""
"Acatari","Mures","Targu Mures",""
"Adamus","Mures","Tarnaveni",""
"Adrian","Mures","Reghin",""
"Adrianu Mare","Mures","Targu Mures","27"
"Adrianu Mic","Mures","Targu Mures","25"
"Agristeu","Mures","Targu Mures","26"
"Albesti","Mures","Sighisoara",""
"Alunis","Mures","Reghin",""
"Andreneasa","Mures","Reghin","37"
"Angofa","Mures","Sighisoara",""
"Apalina","Mures","Reghin",""
"Apold","Mures","Sighisoara",""
"Archita","Mures","Sighisoara","25"
"Arsita","Mures","Reghin","28"
"Atintis","Mures","Ludus",""
"Aurel Vlaicu","Mures","Sighisoara",""
"Avramesti","Mures","Ludus",""
"Bagaciu","Mures","Tarnaveni",""
"Bahnea","Mures","Tarnaveni","20"
"Baita","Mures","Reghin",""
"Bala","Mures","Targu Mures","23"
"Balauseri","Mures","Sovata","25"
"Balda","Mures","Ludus","38"
"Band","Mures","Targu Mures","20"
"Bara","Mures","Sovata","26"
"Barbosi","Mures","Ludus","26"
"Bardesti","Mures","Targu Mures",""
"Barlibas","Mures","Targu Mures","41"
"Barlibasoaia","Mures","Sighisoara",""
"Barza","Mures","Ludus",""
"Batos","Mures","Reghin",""
"Bedeni","Mures","Targu Mures","27"
"Beica de Jos","Mures","Reghin",""
"Beica de Sus","Mures","Reghin",""
"Bereni","Mures","Sovata","22"
"Berghia","Mures","Targu Mures",""
"Bernadea","Mures","Tarnaveni",""
"Beu","Mures","Targu Mures",""
"Bezid","Mures","Sovata","38"
"Bezidu Nou","Mures","Sovata","37"
"Bicasu","Mures","Reghin","25"
"Bichis","Mures","Ludus",""
"Bistra Muresului","Mures","Reghin","29"
"Blidireasa","Mures","Reghin","27"
"Bobohalma","Mures","Tarnaveni",""
"Bogata (Mures)","Mures","Ludus",""
"Boiu","Mures","Sighisoara",""
"Bolintineni","Mures","Targu Mures","20"
"Bologaia","Mures","Ludus","35"
"Bord","Mures","Ludus","20"
"Bordosiu","Mures","Sovata","35"
"Borzia","Mures","Reghin","31"
"Botei","Mures","Ludus","23"
"Botez","Mures","Ludus",""
"Botorca","Mures","Tarnaveni",""
"Bozed","Mures","Targu Mures","21"
"Bozeni","Mures","Targu Mures",""
"Bradetelu","Mures","Reghin","28"
"Brancovenesti","Mures","Reghin",""
"Breaza","Mures","Reghin",""
"Budiu Mic","Mures","Targu Mures",""
"Bujor","Mures","Ludus","28"
"Bujor-Hodaie","Mures","Ludus","26"
"Caciulata","Mures","Targu Mures","30"
"Cacuciu","Mures","Reghin",""
"Calimanesti","Mures","Sovata","25"
"Calugareni","Mures","Sovata","22"
"Caluseri","Mures","Targu Mures","20"
"Campenita","Mures","Targu Mures",""
"Campu Cetatii","Mures","Sovata",""
"Candu","Mures","Sovata","29"
"Capalna de Sus","Mures","Tarnaveni",""
"Capeti","Mures","Sovata",""
"Capusu de Campie","Mures","Targu Mures","29"
"Casva","Mures","Reghin",""
"Cecalaca","Mures","Ludus",""
"Ceie","Mures","Sovata","26"
"cerghid","Mures","Targu Mures",""
"Cerghizel","Mures","Targu Mures",""
"Ceuas","Mures","Tarnaveni",""
"Ceuasu de Campie","Mures","Targu Mures",""
"Chendu","Mures","Sovata","30"
"Chetani","Mures","Ludus",""
"Chibed","Mures","Sovata",""
"Chiheru de Jos","Mures","Reghin",""
"Chiheru de Sus","Mures","Reghin","21"
"Chinari","Mures","Targu Mures",""
"Chincius","Mures","Tarnaveni","22"
"Chirileu","Mures","Targu Mures",""
"Chisalita","Mures","Targu Mures","27"
"Ciba","Mures","Targu Mures",""
"Cibu","Mures","Sovata","38"
"Cinta","Mures","Targu Mures",""
"Cioarga","Mures","Ludus",""
"Ciobotani","Mures","Toplita",""
"Cipaieni","Mures","Ludus",""
"Cipau","Mures","Ludus",""
"Ciretea","Mures","Ludus","25"
"Cirhagau","Mures","Ludus","27"
"Ciulea","Mures","Targu Mures","39"
"Ciurgau (Mures)","Mures","Ludus",""
"Cloasterf","Mures","Sighisoara","28"
"Coasta Grindului","Mures","Ludus",""
"coasta mare","Mures","Targu Mures","30"
"Comori","Mures","Reghin",""
"Corbesti","Mures","Targu Mures",""
"Cordos","Mures","Ludus",""
"Cornesti (Adamus)","Mures","Tarnaveni",""
"Cornesti (Craciunesti)","Mures","Targu Mures",""
"Coroi","Mures","Targu Mures","28"
"Coroisanmartin","Mures","Targu Mures","31"
"Corunca","Mures","Targu Mures",""
"Cotorinau","Mures","Targu Mures","34"
"Cotus","Mures","Targu Mures",""
"Cozma","Mures","Reghin","20"
"Craciunesti","Mures","Targu Mures",""
"Craiesti","Mures","Reghin","27"
"Craiesti (Adamus)","Mures","Tarnaveni",""
"Cris","Mures","Sighisoara",""
"Cristesti","Mures","Targu Mures",""
"Cucerdea","Mures","Tarnaveni",""
"Cuci","Mures","Ludus",""
"Cuiesd","Mures","Targu Mures",""
"Culpiu","Mures","Targu Mures","22"
"cund","Mures","Tarnaveni","32"
"Curete","Mures","Targu Mures","32"
"Curteni","Mures","Targu Mures",""
"Custelnic","Mures","Tarnaveni",""
"Daia (Apold)","Mures","Sighisoara",""
"Daia (Bahnea)","Mures","Tarnaveni","25"
"Dalu","Mures","Ludus",""
"Dambau","Mures","Tarnaveni",""
"Dambu","Mures","Targu Mures","40"
"Damieni","Mures","Sovata","23"
"Danes","Mures","Sighisoara",""
"Dataseni","Mures","Ludus","20"
"Deag","Mures","Ludus","20"
"Deaj","Mures","Tarnaveni",""
"Deda","Mures","Reghin","25"
"Dedrad","Mures","Reghin",""
"Deleni (Ideciu de Jos)","Mures","Reghin",""
"Deleni (Pogaceaua)","Mures","Targu Mures",""
"DELENII","Mures","Tarnaveni",""
"Dileu Nou","Mures","Ludus",""
"Dileu Vechi","Mures","Ludus",""
"Dobra","Mures","Ludus","23"
"Draculea Bandului","Mures","Targu Mures","25"
"Drojdii","Mures","Sovata","24"
"Dubistea de Padure","Mures","Reghin","24"
"Dulcea","Mures","Reghin","27"
"Dumbrava","Mures","Reghin","24"
"Dumbravioara","Mures","Targu Mures",""
"Dumitreni","Mures","Sovata","40"
"Dumitrestii","Mures","Sovata","24"
"Dupa Deal (Cuci)","Mures","Reghin","22"
"Dupa Deal (Iclanzel)","Mures","Ludus","20"
"Ercea","Mures","Targu Mures","26"
"Eremieni","Mures","Sovata","25"
"Eremitu","Mures","Sovata",""
"Ernei","Mures","Targu Mures",""
"Fanate (Band)","Mures","Targu Mures","30"
"Fanate (Faragau)","Mures","Reghin","21"
"Fanate (Iclanzel)","Mures","Ludus","22"
"Fanate (Taureni)","Mures","Ludus",""
"Fanatele Capusului","Mures","Targu Mures","34"
"Fanatele Madarasului","Mures","Targu Mures","26"
"Fanatele Socolului","Mures","Reghin","21"
"Fantana Babii","Mures","Targu Mures","34"
"Fantanele","Mures","Sovata",""
"Faragau","Mures","Reghin",""
"Feleag","Mures","Sighisoara",""
"Filea","Mures","Reghin","27"
"Filitelnic","Mures","Targu Mures","30"
"Filpisu Mare","Mures","Reghin",""
"Filpisu Mic","Mures","Reghin",""
"Fitcau","Mures","Reghin","22"
"Foi","Mures","Targu Mures",""
"Frunzeni","Mures","Reghin",""
"Fundatura","Mures","Ludus",""
"Fundoaia","Mures","Reghin","23"
"Gaiesti","Mures","Targu Mures",""
"Galaoaia","Mures","Reghin","31"
"Galateni","Mures","Targu Mures","20"
"Galesti","Mures","Targu Mures","24"
"Gambut","Mures","Ludus",""
"Ganesti","Mures","Tarnaveni",""
"Gaura Sangerului","Mures","Ludus",""
"Gheja","Mures","Ludus",""
"Gheorghe Doja","Mures","Targu Mures",""
"Ghidasteu","Mures","Targu Mures",""
"Ghindari","Mures","Sovata",""
"Ghinesti","Mures","Sovata","40"
"Giulus","Mures","Ludus",""
"Giurgis","Mures","Ludus",""
"Glajarie","Mures","Reghin","23"
"Glodeni","Mures","Targu Mures",""
"Gogan","Mures","Tarnaveni","28"
"Goreni","Mures","Reghin",""
"Gornesti","Mures","Targu Mures",""
"Gradini","Mures","Ludus","21"
"Grausorul","Mures","Sovata","27"
"Grebenisu de Campie","Mures","Targu Mures","28"
"Grindeni","Mures","Ludus",""
"Gruisor","Mures","Targu Mures",""
"Gurghiu","Mures","Reghin",""
"Habic","Mures","Reghin",""
"Hadareni","Mures","Ludus",""
"Hagau","Mures","Targu Mures","31"
"Haranglab","Mures","Tarnaveni",""
"Hartau","Mures","Targu Mures",""
"Herepea","Mures","Tarnaveni","21"
"Herghelia","Mures","Targu Mures",""
"Hetiur","Mures","Sighisoara",""
"Hodac","Mures","Reghin",""
"Hodaia","Mures","Reghin","21"
"Hodosa","Mures","Sovata","30"
"Iara de Mures","Mures","Reghin",""
"Ibanesti","Mures","Reghin",""
"Ibanesti-Padure","Mures","Reghin","23"
"Icland","Mures","Targu Mures",""
"Iclandu Mare","Mures","Ludus","20"
"iclanzel","Mures","Ludus","20"
"Ideciu de Jos","Mures","Reghin",""
"Ideciu de Sus","Mures","Reghin",""
"Idicel","Mures","Reghin",""
"Idicel-Padure","Mures","Reghin","20"
"Idiciu","Mures","Tarnaveni","25"
"Idrifaia","Mures","Tarnaveni",""
"Iernut","Mures","Ludus",""
"Iernuteni","Mures","Reghin",""
"Ihod","Mures","Sovata","29"
"Ilieni","Mures","Targu Mures",""
"Iliesi","Mures","Sovata",""
"Ilioara","Mures","Targu Mures","24"
"Iod","Mures","Reghin","34"
"Isla","Mures","Targu Mures","25"
"Istan-Tau","Mures","Targu Mures","32"
"Istihaza","Mures","Ludus",""
"Ivanesti","Mures","Targu Mures",""
"Jabenita","Mures","Reghin",""
"Jacodu","Mures","Sovata","40"
"Jacu","Mures","Sovata","49"
"Lapusna","Mures","Reghin","42"
"Larga (Gurghiu)","Mures","Reghin","21"
"Larga (Sarmasu)","Mures","Ludus","43"
"Lascud","Mures","Ludus",""
"laslau mare","Mures","Targu Mures","37"
"Laslau Mic","Mures","Targu Mures","37"
"Laureni","Mures","Targu Mures",""
"Lechincioara","Mures","Targu Mures","24"
"Lechinta","Mures","Ludus",""
"Lefaia","Mures","Reghin","23"
"Lenis","Mures","Targu Mures","31"
"Leordeni","Mures","Targu Mures",""
"Leorinta","Mures","Ludus","35"
"Leorinta-Saulia","Mures","Ludus","35"
"Lepindea","Mures","Tarnaveni","25"
"Lint","Mures","Campia Turzii",""
"Livezeni","Mures","Targu Mures",""
"Logig","Mures","Reghin","23"
"Lotu","Mures","Sovata","35"
"Ludus","Mures","Ludus",""
"Luieriu","Mures","Reghin",""
"Lunca","Mures","Reghin",""
"Lunca Bradului","Mures","Reghin","45"
"Lunca Muresului","Mures","Reghin",""
"Macicasesti","Mures","Ludus","35"
"Madaras","Mures","Targu Mures","22"
"madaraseni","Mures","Ludus",""
"Magherani","Mures","Sovata","20"
"Magherus","Mures","Sighisoara","27"
"Maia","Mures","Sovata","28"
"Maiad","Mures","Targu Mures",""
"Maioresti","Mures","Reghin",""
"Malaesti","Mures","Ludus","25"
"Maldaoci","Mures","Ludus",""
"Malea","Mures","Ludus","25"
"Marasesti","Mures","Targu Mures","23"
"Marculeni","Mures","Sovata","26"
"Matrici","Mures","Sovata",""
"Merisor","Mures","Targu Mures","27"
"Merisoru","Mures","Ludus",""
"Mestera","Mures","Toplita",""
"Mica","Mures","Tarnaveni",""
"Miercurea Nirajului","Mures","Sovata",""
"Mihai Viteazu","Mures","Sighisoara","27"
"Mihesu de Campie","Mures","Ludus","31"
"Milasel","Mures","Reghin","27"
"Mirigioaia","Mures","Reghin","23"
"Mitresti","Mures","Sovata","32"
"Moara de Jos","Mures","Ludus",""
"Moisa","Mures","Targu Mures","23"
"Morareni","Mures","Reghin","20"
"Moresti","Mures","Targu Mures",""
"Morut","Mures","Ludus","44"
"Mosuni","Mures","Targu Mures","22"
"Mura Mare","Mures","Targu Mures","26"
"Mura Mica","Mures","Targu Mures","24"
"Mureni","Mures","Sighisoara",""
"Murgesti","Mures","Targu Mures",""
"Nadasa","Mures","Reghin",""
"Nades","Mures","Sighisoara","20"
"Nandra","Mures","Ludus",""
"Nazna","Mures","Targu Mures",""
"Neagra","Mures","Toplita",""
"Neaua","Mures","Sovata","35"
"Negrenii de Campie","Mures","Targu Mures","29"
"Nicolesti","Mures","Targu Mures",""
"Nima Milaselului","Mures","Targu Mures","30"
"Nima Raciului","Mures","Targu Mures","27"
"Oarba de Mures","Mures","Ludus","21"
"Obarsie","Mures","Targu Mures","34"
"Odrihei","Mures","Targu Mures","33"
"Ogra","Mures","Ludus",""
"Onuca","Mures","Reghin","21"
"Ormenis","Mures","Medias","36"
"Oroiu","Mures","Targu Mures","26"
"Orosia","Mures","Ludus",""
"Orsova","Mures","Reghin",""
"Orsova-Padure","Mures","Reghin","21"
"Ozd","Mures","Ludus",""
"Pacureni","Mures","Targu Mures","23"
"Padurea","Mures","Ludus","26"
"Padureni","Mures","Targu Mures","23"
"paingeni","Mures","Targu Mures","24"
"Panet","Mures","Targu Mures",""
"Papiu Ilarian","Mures","Ludus",""
"Parau Crucii (Pogaceaua)","Mures","Targu Mures","32"
"Parau Crucii (Raciu)","Mures","Targu Mures","33"
"Parau Mare","Mures","Reghin","25"
"Pasareni","Mures","Targu Mures",""
"Paucisoara","Mures","Tarnaveni",""
"Pauloaia","Mures","Reghin",""
"Peris","Mures","Reghin",""
"Petea","Mures","Targu Mures","31"
"Petelea","Mures","Reghin",""
"Petrilaca","Mures","Ludus",""
"Petrilaca de Mures","Mures","Reghin",""
"Pietris","Mures","Reghin","25"
"Pipea","Mures","Sighisoara","24"
"Poarta","Mures","Reghin","23"
"Poduri","Mures","Ludus","23"
"Pogaceaua","Mures","Targu Mures","33"
"Poienita","Mures","Targu Mures",""
"Porumbac","Mures","Ludus",""
"Porumbeni","Mures","Targu Mures",""
"Pripoare","Mures","Ludus",""
"Pusta","Mures","Targu Mures","32"
"Racamet","Mures","Ludus",""
"Raciu","Mures","Targu Mures","25"
"Ranta","Mures","Ludus",""
"Rapa de Jos","Mures","Reghin","23"
"Rastolita","Mures","Reghin","35"
"Razoare","Mures","Ludus","32"
"Recea","Mures","Targu Mures",""
"Reghin","Mures","Reghin",""
"Remetea","Mures","Targu Mures",""
"Rigmani","Mures","Sovata","30"
"Rora","Mures","Sighisoara",""
"Rosiori","Mures","Ludus",""
"Roteni","Mures","Targu Mures",""
"Roua","Mures","Sovata","37"
"Rusii-Munti","Mures","Reghin","21"
"Sabed","Mures","Targu Mures","22"
"Sacadat","Mures","Sovata",""
"Sacalu de Padure","Mures","Reghin",""
"Sacareni","Mures","Targu Mures",""
"Saes","Mures","Sighisoara",""
"Salard","Mures","Reghin","40"
"Salasuri","Mures","Sovata","38"
"Salcud","Mures","Ludus","21"
"Sambrias","Mures","Sovata","25"
"Sancraiu de Mures","Mures","Targu Mures",""
"Sandru","Mures","Ludus","20"
"Sangeorgiu de Campie","Mures","Targu Mures","37"
"Sangeorgiu de Mures","Mures","Targu Mures",""
"Sangeorgiu de Padure","Mures","Sovata",""
"Sanger","Mures","Ludus",""
"Sangeru de Padure","Mures","Targu Mures",""
"Saniacob","Mures","Ludus",""
"Sanisor","Mures","Targu Mures",""
"Sanmarghita","Mures","Ludus","20"
"Sanmartinu de Campie","Mures","Targu Mures","30"
"Sanmihai de Padure","Mures","Reghin",""
"Sanpaul","Mures","Ludus",""
"Sanpetru de Campie","Mures","Targu Mures","40"
"Sansimion","Mures","Sovata","25"
"santana de mures","Mures","Targu Mures",""
"Santioana","Mures","Medias","30"
"Santioana de Mures","Mures","Targu Mures",""
"Santu","Mures","Reghin",""
"Sanvasii","Mures","Targu Mures",""
"Sapartoc","Mures","Sighisoara",""
"Sarateni","Mures","Sovata",""
"Sardu Nirajului","Mures","Targu Mures",""
"Sarmasel","Mures","Ludus","43"
"Sarmasel-Gara","Mures","Ludus","47"
"Sarmasu","Mures","Ludus","41"
"Saschiz","Mures","Sighisoara","20"
"Satu Nou (Gheorghe Doja)","Mures","Targu Mures",""
"Satu Nou (Sanpetru de Campie)","Mures","Targu Mures","47"
"Saulia","Mures","Ludus","32"
"Saulita","Mures","Ludus","32"
"Sausa","Mures","Targu Mures",""
"Scurta","Mures","Targu Mures","39"
"Sebes","Mures","Reghin","25"
"Seleus (Danes)","Mures","Sighisoara",""
"Seleus (Zagar)","Mures","Medias","42"
"Senereus","Mures","Targu Mures","34"
"Serbeni","Mures","Reghin",""
"Seuca","Mures","Tarnaveni",""
"Seulia de Mures","Mures","Ludus",""
"Sfantu Gheorghe","Mures","Ludus",""
"Sicele","Mures","Targu Mures","36"
"Sighisoara","Mures","Sighisoara",""
"Silea Nirajului","Mures","Sovata","25"
"Sincai","Mures","Targu Mures","27"
"Sincai-Fanate","Mures","Targu Mures","30"
"Soard","Mures","Sighisoara",""
"Socolu de Campie","Mures","Reghin",""
"Soimus","Mures","Targu Mures","30"
"Solocma","Mures","Sovata","25"
"Solovastru","Mures","Reghin",""
"Somostelnic","Mures","Targu Mures","25"
"Soromiclea","Mures","Sighisoara",""
"Sovata","Mures","Sovata",""
"Stanceni","Mures","Toplita",""
"Stefanca","Mures","Targu Mures","45"
"Stejarenii","Mures","Sighisoara",""
"Stejeris","Mures","Targu Mures",""
"Sub Padure","Mures","Tarnaveni","20"
"Suplac","Mures","Targu Mures","25"
"Suseni","Mures","Reghin",""
"Suveica","Mures","Targu Mures",""
"Tablaseni","Mures","Ludus",""
"Tampa","Mures","Targu Mures",""
"Targu Mures","Mures","Targu Mures",""
"Tarnaveni","Mures","Tarnaveni",""
"Taureni","Mures","Ludus",""
"Teleac","Mures","Reghin","23"
"Tigmandru","Mures","Sighisoara","23"
"Tiptelnic","Mures","Targu Mures","25"
"Tireu","Mures","Reghin","26"
"Tirimia","Mures","Targu Mures",""
"Tirimioara","Mures","Targu Mures",""
"Tisieu","Mures","Reghin","26"
"Toaca","Mures","Reghin","24"
"Tofalau","Mures","Targu Mures",""
"Toldal","Mures","Targu Mures","26"
"Tonciu","Mures","Reghin",""
"Topa","Mures","Sighisoara",""
"Torba","Mures","Sovata","23"
"Trei Sate","Mures","Sovata",""
"Troita","Mures","Targu Mures","23"
"Tusinu","Mures","Targu Mures","44"
"Uila","Mures","Reghin","23"
"Ulies","Mures","Targu Mures","34"
"Ungheni","Mures","Targu Mures",""
"Uricea","Mures","Reghin","21"
"Urisiu de Jos","Mures","Reghin",""
"Urisiu de Sus","Mures","Reghin","20"
"Ursoaia","Mures","Ludus","21"
"vadas","Mures","Sovata",""
"Vadu","Mures","Sovata","31"
"Vaidacuta","Mures","Targu Mures","22"
"Vaideiu","Mures","Ludus",""
"Valea","Mures","Sovata","33"
"Valea Albestiului","Mures","Sighisoara",""
"Valea Daii","Mures","Sighisoara",""
"Valea Fratiei","Mures","Ludus","25"
"Valea Glodului","Mures","Ludus","25"
"Valea Iclandului","Mures","Ludus","14"
"Valea Izvoarelor","Mures","Targu Mures","20"
"Valea Larga","Mures","Ludus","22"
"Valea Mare","Mures","Targu Mures","32"
"Valea Padurii","Mures","Ludus","24"
"Valea Rece","Mures","Targu Mures","24"
"Valea Sanmartinului","Mures","Targu Mures","36"
